,group,sum_gamerounds,retention_1,retention_7
1101,A,8,False,False
1102,B,19,False,False
1103,A,3,True,False
1104,A,4,False,False
1105,B,65,False,False
1106,A,1,False,False
1107,A,199,True,True
1108,A,24,True,False
1109,B,3,False,False
1110,B,74,True,False
1111,A,197,True,True
1112,A,40,False,False
1113,B,9,False,False
1114,B,29,False,False
1115,B,66,True,False
1116,B,48,True,False
1117,B,14,False,False
1118,B,15,False,False
1119,A,50,True,False
1120,A,2,False,False
1121,B,39,True,False
1122,A,16,False,False
1123,A,6,True,False
1124,B,124,False,True
1125,B,0,False,False
1126,B,4,False,False
1127,A,93,True,True
1128,A,41,True,False
1129,A,2,False,False
1130,A,16,True,False
1131,A,8,False,False
1132,B,4,False,False
1133,A,38,True,False
1134,A,91,True,True
1135,A,19,False,False
1136,A,344,True,True
1137,B,73,False,False
1138,B,11,False,False
1139,A,2,True,False
1140,A,51,True,False
1141,A,1,False,False
1142,B,33,True,True
1143,B,142,True,False
1144,A,44,True,False
1145,B,44,True,False
1146,A,222,True,True
1147,A,11,False,False
1148,B,14,False,False
1149,B,6,False,False
1150,A,12,True,False
1151,B,15,True,False
1152,A,200,True,True
1153,B,6,True,False
1154,A,35,False,False
1155,A,3,False,False
1156,A,5,False,True
1157,A,13,False,False
1158,A,17,True,False
1159,A,3,False,False
1160,A,43,True,False
1161,B,4,True,False
1162,B,2,False,False
1163,B,64,False,False
1164,A,399,False,True
1165,A,60,True,False
1166,B,216,True,False
1167,B,42,True,False
1168,B,18,True,False
1169,B,15,False,False
1170,B,1,False,False
1171,A,14,False,False
1172,A,129,False,True
1173,B,2,False,False
1174,B,2,False,False
1175,A,26,False,False
1176,A,12,True,False
1177,B,13,False,False
1178,B,17,True,False
1179,B,13,True,False
1180,A,7,False,False
1181,A,23,True,False
1182,A,33,False,False
1183,A,38,False,False
1184,B,36,True,True
1185,B,55,True,False
1186,A,159,True,True
1187,A,11,False,False
1188,A,4,False,False
1189,A,2,False,False
1190,B,69,True,True
1191,A,74,True,False
1192,A,4,False,False
1193,A,4,False,False
1194,A,113,True,False
1195,A,1,False,False
1196,B,5,False,False
1197,B,0,False,False
1198,B,36,True,False
1199,B,139,True,True
1200,B,79,True,False
1201,A,50,True,False
1202,B,11,False,False
1203,A,331,True,True
1204,A,12,False,False
1205,B,29,True,False
1206,B,26,False,False
1207,B,117,True,False
1208,B,7,True,False
1209,B,23,False,False
1210,B,26,False,False
1211,B,2,False,False
1212,B,40,True,False
1213,A,15,False,False
1214,B,32,True,False
1215,B,10,True,False
1216,A,432,True,True
1217,B,2,False,False
1218,A,8,True,False
1219,B,16,True,False
1220,B,148,True,True
1221,A,2,False,False
1222,A,2,False,False
1223,B,1,False,False
1224,A,4,False,False
1225,A,4,False,True
1226,A,149,True,True
1227,A,13,False,False
1228,B,5,False,False
1229,A,21,False,True
1230,A,80,False,True
1231,B,1,False,False
1232,B,0,False,False
1233,A,12,False,False
1234,B,1,False,False
1235,A,9,False,False
1236,A,15,False,False
1237,A,13,False,False
1238,B,9,True,False
1239,A,12,True,False
1240,B,2,False,False
1241,A,7,False,False
1242,A,45,False,False
1243,A,18,False,False
1244,B,43,True,True
1245,B,284,True,True
1246,A,9,True,False
1247,B,5,False,False
1248,A,181,True,True
1249,B,21,True,False
1250,B,27,False,False
1251,A,39,True,False
1252,B,19,True,True
1253,B,32,True,False
1254,A,75,True,True
1255,B,0,False,False
1256,A,10,False,False
1257,B,34,True,False
1258,A,4,True,False
1259,A,22,False,False
1260,B,16,True,False
1261,A,59,True,True
1262,A,231,True,True
1263,A,2,False,False
1264,B,681,False,True
1265,B,8,False,False
1266,B,0,False,False
1267,B,3,False,False
1268,A,311,True,True
1269,B,6,False,False
1270,B,103,True,True
1271,A,80,False,True
1272,B,2,False,False
1273,A,70,True,True
1274,B,10,False,False
1275,B,3,False,False
1276,A,27,True,False
1277,B,2,False,False
1278,A,51,False,True
1279,A,81,True,False
1280,B,28,False,False
1281,B,13,False,False
1282,A,44,True,False
1283,B,10,False,False
1284,A,12,True,False
1285,B,124,False,True
1286,A,1,False,False
1287,A,23,False,False
1288,B,36,False,False
1289,A,6,False,False
1290,B,2,False,False
1291,B,3,True,False
1292,B,11,False,False
1293,B,66,True,True
1294,B,35,True,False
1295,B,9,True,False
1296,B,28,True,False
1297,A,29,True,False
1298,B,1,False,False
1299,A,3,False,False
1300,B,57,True,True
1301,B,24,False,False
1302,B,13,True,True
1303,B,4,True,False
1304,A,8,False,False
1305,A,1,False,False
1306,A,15,True,False
1307,A,10,False,False
1308,B,57,True,False
1309,B,4,False,False
1310,A,1,False,False
1311,B,0,False,False
1312,A,52,True,False
1313,A,1,False,False
1314,A,18,True,False
1315,A,3,False,False
1316,B,7,False,False
1317,B,29,False,False
1318,A,9,False,False
1319,B,87,True,True
1320,A,45,True,False
1321,A,6,False,False
1322,A,5,False,False
1323,B,25,True,False
1324,B,75,True,True
1325,B,22,True,True
1326,A,3,False,False
1327,B,1,False,False
1328,A,7,False,False
1329,B,30,False,True
1330,A,186,True,True
1331,B,3,False,False
1332,A,53,True,False
1333,A,3,True,False
1334,B,3,False,False
1335,B,29,False,False
1336,A,2,True,False
1337,A,15,True,False
1338,B,134,True,True
1339,A,2,False,False
1340,A,16,False,False
1341,A,347,True,True
1342,B,29,False,False
1343,B,12,False,False
1344,B,95,True,False
1345,B,76,False,True
1346,B,22,True,True
1347,B,6,False,False
1348,B,7,False,False
1349,B,18,True,True
1350,A,11,False,False
1351,B,71,True,False
1352,A,8,False,False
1353,B,12,True,True
1354,A,22,False,False
1355,A,6,False,False
1356,B,0,False,False
1357,A,211,True,False
1358,B,3,False,False
