,level_0,index,group,sum_gamerounds,retention_1,retention_7
428,453,453,B,57,True,False
429,454,454,B,3,True,False
430,455,455,A,163,True,True
431,456,456,B,47,True,False
432,457,457,A,54,False,False
433,458,458,B,2,False,False
434,459,459,A,220,True,True
435,460,460,B,63,True,True
436,461,461,B,25,True,False
437,463,463,A,1,False,False
438,464,464,A,2,False,False
439,465,465,B,84,True,True
440,466,466,B,60,False,False
441,467,467,A,216,True,True
442,468,468,B,17,True,False
443,469,469,A,290,True,True
444,470,470,B,3,False,False
445,471,471,B,24,True,False
446,472,472,B,5,False,False
447,473,473,A,18,False,False
448,474,474,A,5,False,False
449,475,475,A,20,False,False
450,476,476,B,9,True,False
451,477,477,B,15,True,False
452,478,478,B,4,False,False
453,479,479,B,87,True,True
454,480,480,B,86,True,False
455,482,482,B,4,False,False
456,483,483,A,356,False,False
457,484,484,A,10,True,False
458,485,485,B,3,False,True
459,488,488,A,3,False,False
460,489,489,A,34,True,True
461,490,490,A,34,False,False
462,492,492,A,117,True,True
463,493,493,A,23,False,True
464,494,494,A,34,True,False
465,495,495,B,8,False,False
466,496,496,B,20,True,False
467,497,497,B,54,True,True
468,498,498,A,4,False,False
469,499,499,B,76,False,True
470,500,500,B,55,True,False
471,501,501,B,3,False,False
472,502,502,B,2,False,False
473,503,503,A,22,True,False
474,504,504,A,15,True,True
475,505,505,B,3,False,False
476,506,506,B,4,False,False
477,507,507,B,298,True,True
478,508,508,A,338,True,True
479,509,509,B,1,False,False
480,510,510,B,12,False,False
481,511,511,B,7,False,False
482,512,512,B,5,False,False
483,513,513,A,16,False,False
484,514,514,A,9,True,False
485,515,515,B,4,False,False
486,516,516,B,115,True,True
487,517,517,A,170,True,True
488,518,518,A,174,True,True
489,519,519,A,21,False,False
490,520,520,B,4,False,False
491,521,521,B,6,False,False
492,522,522,A,6,False,False
493,523,523,A,22,False,False
494,524,524,B,12,False,False
495,525,525,B,2,False,False
496,526,526,B,2,False,False
497,527,527,A,70,True,False
498,529,529,A,3,False,False
499,530,530,A,25,False,False
500,531,531,B,141,True,True
501,532,532,B,47,True,True
502,533,533,A,1,False,False
503,534,534,A,32,False,False
504,535,535,B,3,False,False
505,536,536,B,10,False,False
506,537,537,A,2,False,False
507,538,538,B,2,True,False
508,539,539,A,15,False,False
509,540,540,B,543,True,True
510,541,541,A,10,False,False
511,542,542,B,54,True,False
512,543,543,A,202,True,True
513,544,544,B,2,False,False
514,545,545,B,41,False,False
515,546,546,A,15,False,False
516,547,547,A,54,False,False
517,548,548,B,5,True,False
518,549,549,B,22,True,False
519,550,550,B,399,True,True
520,551,551,A,13,True,False
521,552,552,B,29,True,False
522,553,553,A,38,True,True
523,555,555,B,19,True,False
524,556,556,A,23,False,False
525,557,557,A,237,True,True
526,558,558,B,25,True,False
527,559,559,B,85,True,False
528,561,561,A,11,False,False
529,562,562,B,1,False,False
530,563,563,A,7,True,False
531,564,564,A,33,True,True
532,565,565,A,18,False,False
533,566,566,B,14,False,False
534,567,567,B,18,False,False
535,568,568,B,11,True,False
536,569,569,B,26,True,False
537,570,570,A,6,False,False
538,571,571,B,65,True,False
539,572,572,B,16,True,False
540,573,573,B,17,False,False
541,574,574,A,139,False,True
542,576,576,A,24,True,False
543,577,577,A,23,False,False
544,578,578,A,7,False,False
545,579,579,B,29,False,False
546,580,580,A,4,False,False
547,581,581,A,3,False,False
548,582,582,A,19,False,False
549,583,583,A,2,False,False
550,584,584,A,12,False,False
551,585,585,B,1,False,False
552,587,587,A,6,False,False
553,588,588,B,5,False,False
554,589,589,B,67,True,False
555,590,590,B,36,True,True
556,591,591,B,2,False,False
557,592,592,A,1,False,False
558,593,593,B,33,True,False
559,594,594,A,9,True,False
560,595,595,A,179,True,True
561,596,596,A,1,False,False
562,597,597,A,202,True,True
563,598,598,A,9,True,False
564,599,599,B,43,False,False
565,600,600,A,902,True,True
566,601,601,A,6,False,False
567,602,602,B,22,False,False
568,603,603,A,1,False,False
569,604,604,A,9,True,True
570,605,605,A,4,True,False
571,606,606,A,1,False,False
572,607,607,B,15,False,True
573,608,608,A,1,False,False
574,609,609,B,125,True,False
575,610,610,B,24,False,False
576,611,611,B,1,False,True
577,612,612,A,269,True,False
578,613,613,B,31,True,False
579,614,614,A,510,True,False
580,615,615,B,62,False,False
581,616,616,B,5,False,False
582,617,617,A,16,False,False
583,618,618,B,10,False,False
584,619,619,A,4,False,False
585,620,620,B,28,False,False
586,621,621,A,46,True,False
587,622,622,B,1,False,False
588,623,623,B,4,False,False
589,624,624,B,13,True,False
590,625,625,A,9,False,False
591,626,626,A,18,False,False
592,627,627,B,15,False,False
593,628,628,B,1,False,False
594,629,629,A,3,False,False
595,630,630,A,12,False,False
596,631,631,B,8,False,False
597,633,633,B,18,True,False
598,634,634,A,7,False,False
599,635,635,B,52,False,True
600,637,637,B,136,True,False
601,638,638,A,5,False,False
602,639,639,B,474,True,True
603,640,640,B,5,False,False
604,641,641,A,26,True,False
605,642,642,B,83,True,False
606,643,643,A,1,False,False
607,644,644,B,1,False,False
608,645,645,B,121,False,False
609,646,646,B,105,True,True
610,647,647,B,2,False,False
611,648,648,A,20,True,False
612,649,649,A,46,False,False
613,650,650,A,5,False,False
614,651,651,B,80,True,True
615,652,652,B,210,True,True
616,653,653,B,16,True,False
617,654,654,A,1906,True,True
618,655,655,A,16,False,False
619,657,657,A,1,False,False
620,658,658,B,35,True,True
621,659,659,B,199,True,False
622,660,660,B,6,False,False
623,661,661,A,5,False,False
624,662,662,B,3,False,False
625,663,663,A,25,True,False
626,664,664,A,118,True,True
627,665,665,B,68,True,False
628,666,666,B,105,True,False
629,667,667,A,5,False,False
630,668,668,A,38,True,False
631,669,669,B,8,False,False
632,670,670,A,7,False,False
633,671,671,A,4,False,False
634,672,672,A,6,False,False
635,673,673,B,12,False,False
636,674,674,B,103,True,False
637,675,675,A,259,True,True
638,676,676,B,5,False,False
639,677,677,B,12,True,False
640,678,678,B,6,True,False
641,679,679,A,298,True,True
642,680,680,B,3,False,False
643,681,681,B,1,False,False
644,682,682,B,15,False,False
645,683,683,A,6,True,False
646,684,684,A,10,False,False
647,685,685,B,13,False,False
648,686,686,B,12,True,False
649,687,687,B,34,True,False
650,688,688,A,3,False,False
651,689,689,B,2,False,False
652,690,690,A,7,False,False
653,691,691,A,24,True,True
654,692,692,B,7,False,False
655,693,693,A,53,True,False
656,694,694,B,38,False,True
657,695,695,A,11,True,False
658,696,696,B,98,True,False
659,697,697,B,4,False,False
660,698,698,A,5,False,False
661,699,699,B,3,False,False
662,700,700,A,50,False,False
663,701,701,A,149,False,True
664,702,702,A,20,True,False
665,703,703,A,1,False,False
666,704,704,B,30,True,False
667,705,705,B,4,False,False
668,706,706,B,53,True,False
669,707,707,B,5,False,False
670,708,708,A,113,True,False
671,709,709,B,2,False,False
672,710,710,B,2,False,False
673,712,712,B,25,True,False
674,713,713,A,12,False,False
675,714,714,B,59,False,False
676,715,715,A,15,False,False
677,716,716,A,106,True,True
678,717,717,B,2,False,False
679,718,718,B,7,False,False
680,719,719,B,6,False,False
681,720,720,A,59,True,False
682,721,721,A,47,False,False
683,722,722,B,1,False,False
684,723,723,A,34,True,False
685,724,724,A,4,False,False
686,725,725,A,12,False,False
687,726,726,A,15,True,False
688,727,727,B,32,False,False
689,729,729,A,2,False,False
690,730,730,B,34,True,False
691,731,731,A,11,False,False
692,732,732,B,16,False,False
693,733,733,B,2,False,False
694,734,734,A,128,True,True
695,735,735,B,9,False,False
696,737,737,A,34,False,True
697,738,738,B,7,False,False
698,739,739,B,7,False,False
699,740,740,B,215,True,True
700,741,741,A,1,False,False
701,743,743,B,231,True,False
702,744,744,A,5,False,False
703,745,745,B,16,False,False
704,746,746,A,34,False,False
705,747,747,B,2,False,False
706,748,748,A,34,True,False
707,749,749,A,2,False,False
708,750,750,B,12,False,False
709,751,751,B,6,False,False
710,752,752,A,41,True,False
711,753,753,B,36,False,False
712,754,754,B,13,False,False
713,755,755,A,3,False,False
714,756,756,B,36,True,True
715,757,757,B,28,False,False
716,758,758,A,11,True,False
717,759,759,B,12,False,False
718,760,760,A,7,False,False
719,761,761,B,14,False,False
720,762,762,A,3,True,False
721,764,764,B,5,False,False
722,765,765,B,129,True,True
723,766,766,B,95,False,True
724,767,767,B,96,True,False
725,768,768,A,160,True,False
726,770,770,B,17,False,False
727,771,771,B,24,True,False
728,772,772,B,11,True,False
729,773,773,B,6,False,False
730,774,774,B,26,False,False
731,775,775,B,110,True,True
732,776,776,A,61,True,True
733,777,777,A,5,False,False
734,778,778,A,15,False,False
735,779,779,B,3,False,False
736,780,780,A,12,False,False
737,781,781,B,1,False,False
738,782,782,B,65,True,False
739,783,783,B,2,False,False
740,784,784,B,18,False,False
741,785,785,B,275,True,True
742,786,786,A,19,False,True
743,787,787,A,26,False,False
744,788,788,A,46,False,False
745,789,789,B,3,False,False
746,790,790,A,40,True,False
747,791,791,B,13,False,False
748,792,792,B,8,False,False
749,793,793,B,2,False,False
750,794,794,B,3,False,False
751,795,795,B,4,False,False
752,796,796,A,37,True,False
753,797,797,B,11,False,False
754,798,798,A,22,True,False
755,799,799,B,55,False,True
756,800,800,A,20,True,False
757,801,801,A,197,True,True
758,802,802,B,44,False,False
759,803,803,A,133,True,False
760,805,805,B,2,False,False
761,806,806,A,21,False,False
762,807,807,A,2,False,False
763,808,808,A,5,False,False
764,809,809,B,2,False,False
765,810,810,B,14,False,False
766,812,812,A,44,False,True
767,813,813,A,14,False,False
768,814,814,A,76,True,False
769,815,815,A,52,True,False
770,816,816,B,88,True,True
771,817,817,A,36,True,False
772,818,818,B,66,True,False
773,819,819,B,70,False,False
774,820,820,A,2,False,False
775,821,821,B,44,False,False
776,822,822,B,98,True,False
777,823,823,A,18,False,False
778,824,824,A,9,False,False
779,825,825,B,6,False,False
780,826,826,A,3,True,False
781,827,827,B,2,False,False
782,828,828,B,54,False,False
783,829,829,B,4,False,False
784,830,830,B,13,False,True
785,832,832,B,8,False,False
786,833,833,A,10,True,False
787,834,834,A,18,False,False
788,836,836,A,33,False,False
789,837,837,B,9,False,False
790,838,838,A,6,False,True
791,839,839,A,2,False,False
792,840,840,A,79,True,True
793,841,841,B,9,False,False
794,842,842,A,1,False,False
795,843,843,B,35,True,True
796,844,844,A,4,False,False
797,845,845,A,9,False,False
798,846,846,A,43,True,False
799,847,847,A,42,True,False
800,848,848,B,6,True,True
801,849,849,A,282,True,True
802,850,850,A,11,False,False
803,851,851,B,42,False,True
804,852,852,A,16,False,False
805,853,853,B,132,False,True
806,854,854,A,49,True,True
807,855,855,A,95,True,True
808,856,856,B,3,False,False
809,857,857,A,183,True,False
810,858,858,B,24,False,False
811,859,859,B,112,True,True
812,860,860,A,70,True,True
813,861,861,A,332,True,True
814,862,862,B,100,True,True
815,863,863,A,3,False,False
816,864,864,A,798,True,True
817,865,865,B,4,False,False
818,867,867,A,27,True,False
819,868,868,B,41,True,False
820,869,869,A,81,True,True
821,870,870,B,49,True,False
822,871,871,A,142,True,True
823,872,872,A,31,False,False
824,873,873,A,5,True,False
825,874,874,B,35,False,False
826,875,875,B,4,False,False
827,876,876,A,3,False,False
828,877,877,A,16,False,False
829,878,878,A,12,False,False
830,879,879,B,48,True,False
831,880,880,A,8,True,False
832,881,881,B,6,True,False
833,882,882,B,13,False,False
834,883,883,B,35,True,False
835,884,884,A,4,False,False
836,885,885,B,9,True,False
837,886,886,A,7,True,False
838,887,887,B,27,True,False
839,888,888,B,83,True,False
840,889,889,B,3,False,False
841,890,890,A,3,False,False
842,891,891,B,3,False,False
843,892,892,A,143,False,True
844,893,893,B,39,True,True
845,894,894,B,114,True,True
846,895,895,A,71,True,False
847,896,896,A,13,False,False
848,897,897,B,63,True,True
849,898,898,A,75,True,False
850,899,899,A,27,True,False
851,900,900,B,15,False,False
852,901,901,A,8,False,False
853,902,902,B,17,True,False
854,903,903,A,95,True,False
855,904,904,B,6,False,False
856,905,905,A,186,True,True
857,906,906,A,50,True,False
858,907,907,A,129,True,False
859,908,908,B,1,False,False
860,909,909,B,4,True,False
861,910,910,B,30,False,False
862,911,911,A,1,False,False
863,912,912,B,3,False,False
864,913,913,A,164,True,True
865,914,914,B,1,True,False
866,915,915,B,9,False,False
867,916,916,B,6,False,False
868,917,917,B,78,False,True
869,918,918,A,249,True,True
870,919,919,B,34,False,False
871,920,920,A,29,True,False
872,921,921,B,18,True,False
873,922,922,B,4,False,False
874,923,923,A,14,False,False
875,924,924,A,2,False,False
876,925,925,A,8,False,True
877,926,926,B,47,True,False
878,927,927,B,3,False,False
879,928,928,A,345,True,False
880,929,929,B,1,False,False
881,930,930,A,50,True,True
882,931,931,A,13,False,False
883,932,932,B,57,True,False
884,933,933,A,7,False,False
885,934,934,A,13,True,False
886,935,935,A,27,False,False
887,936,936,B,59,True,False
888,937,937,B,16,True,True
889,938,938,A,51,False,False
890,939,939,A,4,False,False
891,940,940,B,7,False,False
892,941,941,A,546,True,True
893,942,942,B,45,False,False
894,943,943,A,28,True,False
895,944,944,A,82,False,True
896,945,945,A,394,True,True
897,946,946,A,5,False,False
898,947,947,B,227,True,True
899,948,948,B,258,False,True
900,949,949,A,56,True,False
901,951,951,B,52,False,False
902,952,952,A,8,False,False
903,954,954,A,5,False,False
904,955,955,B,8,False,False
905,956,956,A,1,False,False
906,957,957,A,19,True,False
907,958,958,A,11,False,False
908,959,959,B,6,False,False
909,960,960,A,375,True,True
910,961,961,A,9,False,False
911,962,962,A,4,False,False
912,963,963,B,57,True,False
913,964,964,B,2,False,False
914,965,965,A,39,False,False
915,966,966,A,8,False,False
916,967,967,A,1,False,False
917,968,968,A,7,False,False
918,969,969,B,2,False,False
919,970,970,A,51,True,False
920,971,971,B,4,False,False
921,973,973,A,54,False,True
922,974,974,A,10,False,False
923,975,975,B,11,False,False
924,976,976,B,3,False,False
925,977,977,A,35,False,True
926,978,978,B,39,False,False
927,979,979,A,7,False,False
928,980,980,B,19,True,False
929,981,981,B,3,True,False
930,982,982,A,7,False,False
931,983,983,B,6,True,False
932,984,984,B,109,True,False
933,985,985,B,106,True,False
934,987,987,B,158,True,True
935,988,988,A,60,True,False
936,990,990,A,13,True,False
937,991,991,A,35,False,False
938,992,992,B,7,False,False
939,993,993,A,29,True,True
940,995,995,A,9,False,False
941,996,996,A,519,True,True
942,997,997,A,73,True,False
943,998,998,B,2,False,False
944,1000,1000,A,5,False,False
945,1001,1001,A,10,False,False
946,1002,1002,B,10,False,False
947,1003,1003,A,5,True,False
948,1004,1004,B,52,True,False
949,1005,1005,B,56,True,False
950,1006,1006,B,42,True,True
951,1007,1007,A,26,False,False
952,1008,1008,B,19,False,False
953,1009,1009,A,20,True,False
954,1010,1010,B,34,False,False
955,1011,1011,B,1,False,False
956,1012,1012,A,7,True,False
957,1013,1013,B,77,False,False
958,1014,1014,A,9,False,False
959,1016,1016,B,41,True,False
960,1017,1017,A,26,True,False
961,1018,1018,A,553,True,True
962,1019,1019,B,11,False,False
963,1020,1020,B,260,True,True
964,1021,1021,A,86,True,True
965,1022,1022,B,47,False,True
966,1023,1023,A,175,True,False
967,1024,1024,A,28,True,False
968,1025,1025,A,11,False,False
969,1026,1026,A,25,False,False
970,1027,1027,B,44,True,True
971,1028,1028,A,81,True,True
972,1029,1029,B,47,True,False
973,1030,1030,A,37,True,False
974,1031,1031,A,11,True,False
975,1032,1032,A,3,False,False
976,1033,1033,A,2,False,False
977,1034,1034,A,26,True,False
978,1035,1035,B,2,False,False
979,1037,1037,A,8,False,False
980,1038,1038,B,11,True,False
981,1039,1039,A,23,False,False
982,1040,1040,B,3,True,False
983,1041,1041,A,123,False,True
984,1042,1042,A,2,False,False
985,1043,1043,B,104,True,False
986,1044,1044,B,28,True,False
987,1045,1045,B,1,False,False
988,1046,1046,B,21,True,False
